"","Gene_name","WT1","WT3","WT4","muMT3","muMT1"
"1","0610005C13Rik",3,4,5,7,2
"2","0610007N19Rik",0,0,0,0,0
"3","0610007P14Rik",2,1,2,2,1
"4","0610008F07Rik",0,0,0,0,0
"5","0610009B14Rik",0,0,0,0,0
"6","0610009B22Rik",1,0,1,0,0
"7","0610009D07Rik",1,1,0,0,0
"8","0610009L18Rik",0,0,0,0,0
"9","0610009O20Rik",45,76,56,58,56
"10","0610010B08Rik",0,0,0,0,0
"11","0610010F05Rik",0,1,1,1,0
"12","0610010K14Rik",0,0,1,2,0
"13","0610011F06Rik",0,1,0,2,0
"14","0610012G03Rik",6,15,13,4,6
"15","0610012H03Rik",0,0,0,0,0
"16","0610030E20Rik",8,23,29,29,28
"17","0610031J06Rik",1,0,0,0,0
"18","0610031O16Rik",0,0,0,0,0
"19","0610037L13Rik",1,1,0,0,0
"20","0610038B21Rik",6,5,13,9,5
"21","0610038L08Rik",69,90,133,92,52
"22","0610039K10Rik",407,512,741,558,266
"23","0610040B10Rik",0,0,0,0,0
"24","0610040F04Rik",122,137,193,175,82
"25","0610040J01Rik",1,0,0,0,0
"26","0610043K17Rik",0,0,2,0,0
"27","1100001G20Rik",0,0,0,0,0
"28","1110001A16Rik",150,197,240,201,182
"29","1110001J03Rik",0,0,0,1,0
"30","1110002L01Rik",1376,1771,2156,1660,1297
"31","1110004E09Rik",4,3,8,3,1
"32","1110004F10Rik",3,5,1,5,1
"33","1110006O24Rik",0,0,0,0,0
"34","1110007C09Rik",0,0,0,0,0
"35","1110008F13Rik",2,2,8,2,5
"36","1110008J03Rik",0,0,0,0,0
"37","1110008L16Rik",61,104,126,104,68
"38","1110008P14Rik",1,0,4,0,2
"39","1110012L19Rik",0,2,0,0,0
"40","1110015O18Rik",0,0,0,0,0
"41","1110017D15Rik",0,1,0,0,0
"42","1110018G07Rik",0,1,1,2,0
"43","1110019D14Rik",0,0,0,0,0
"44","1110020A21Rik",0,0,1,0,0
"45","1110025L11Rik",0,0,0,0,0
"46","1110028F11Rik",0,0,0,0,0
"47","1110028F18Rik",0,0,0,0,0
"48","1110032A03Rik",0,1,1,1,1
"49","1110032F04Rik",0,1,3,0,0
"50","1110034G24Rik",0,0,1,0,0
"51","1110035M17Rik",0,0,1,0,0
"52","1110036E04Rik",0,0,0,0,0
"53","1110037F02Rik",2,1,2,0,1
"54","1110038B12Rik",1,0,0,0,0
"55","1110038F14Rik",1,0,1,0,1
"56","1110046J04Rik",1,2,7,2,1
"57","1110051M20Rik",10,15,29,21,9
"58","1110054M08Rik",2,1,3,1,3
"59","1110057K04Rik",0,0,0,0,0
"60","1110058L19Rik",0,1,0,0,0
"61","1110059E24Rik",0,0,2,0,0
"62","1110059G10Rik",0,0,1,0,0
"63","1110059M19Rik",0,0,0,0,0
"64","1110065P20Rik",1,0,1,0,0
"65","1190002F15Rik",0,0,0,0,0
"66","1190002N15Rik",0,1,0,0,3
"67","1190003J15Rik",0,0,0,0,0
"68","1190003K10Rik",0,0,1,0,0
"69","1190005I06Rik",0,1,2,0,0
"70","1190007I07Rik",0,0,0,0,0
"71","1200011I18Rik",1,1,4,0,0
"72","1200014J11Rik",3,2,3,4,0
"73","1300002E11Rik",0,0,1,0,0
"74","1300002K09Rik",0,0,0,0,0
"75","1300015D01Rik",0,0,0,0,0
"76","1300017J02Rik",0,1,4,1,1
"77","1300018J18Rik",196,307,327,255,218
"78","1500002O10Rik",2,3,1,2,2
"79","1500004A13Rik",130,189,237,178,100
"80","1500009C09Rik",20,58,63,48,30
"81","1500009L16Rik",0,0,0,1,1
"82","1500011B03Rik",3,2,1,1,0
"83","1500011K16Rik",0,0,0,2,0
"84","1500012F01Rik",0,3,3,1,2
"85","1500012K07Rik",79,79,151,83,31
"86","1500015A07Rik",0,1,0,0,0
"87","1500015L24Rik",0,0,0,0,0
"88","1500015O10Rik",2,0,4,2,1
"89","1500016L03Rik",0,0,0,0,0
"90","1500017E21Rik",282,507,508,422,301
"91","1500032L24Rik",3,1,2,0,1
"92","1600002D24Rik",0,0,0,0,0
"93","1600002H07Rik",0,2,1,1,2
"94","1600002K03Rik",1,1,1,0,2
"95","1600010M07Rik",0,0,0,0,0
"96","1600012H06Rik",25,67,50,62,54
"97","1600014C10Rik",0,1,0,0,2
"98","1600014C23Rik",0,0,0,0,0
"99","1600014K23Rik",0,0,0,0,0
"100","1600015I10Rik",0,0,0,0,0
"101","1600016N20Rik",0,1,0,1,1
"102","1600019K03Rik",0,0,0,0,0
"103","1600020E01Rik",0,0,0,0,0
"104","1600023N17Rik",0,0,0,0,0
"105","1600025M17Rik",0,0,0,0,0
"106","1600029D21Rik",2,2,3,1,1
"107","1600029I14Rik",0,0,0,0,0
"108","1600029O15Rik",0,0,1,0,0
"109","1700001C02Rik",0,0,0,0,0
"110","1700001C19Rik",0,0,0,0,1
"111","1700001D01Rik",0,0,0,0,0
