"","WT1","WT2","WT3","muMT1","muMT2"
"4933401J01Rik",0,0,0,0,0
"Gm26206",0,0,0,0,0
"Xkr4",255,232,525,146,263
"Gm18956",0,0,0,0,1
"Gm37180",0,0,0,0,0
"Gm37363",0,0,0,0,0
"Gm37686",0,1,0,0,0
"Gm1992",0,0,0,0,0
"Gm37329",0,0,0,0,0
"Gm7341",0,0,0,0,0
"Gm38148",0,0,0,0,0
"Gm19938",6,8,5,1,7
"Gm10568",8,2,6,2,4
"Gm38385",0,0,0,0,0
"Gm27396",0,0,0,0,0
"Gm37381",0,0,0,0,0
"Rp1",0,3,4,1,2
"Gm6101",0,0,0,0,0
"Gm37483",0,0,0,0,0
"Sox17",78,115,128,75,114
"Gm37587",0,0,0,0,2
"Gm7357",0,3,1,0,2
"Gm22307",0,0,1,0,0
"Gm38076",0,0,0,0,0
"Gm37323",0,1,0,0,0
"Gm7369",0,0,0,0,0
"Gm6085",2,4,5,6,4
"Gm6119",0,1,0,0,0
"Gm25493",0,0,0,1,0
"Gm2053",0,0,0,0,0
"Gm6123",5,5,10,4,5
"Mrpl15",711,1030,1094,763,1079
"Gm37144",6,4,2,1,2
"Lypla1",490,755,824,383,657
"Gm37988",0,0,0,0,0
"Tcea1",879,1268,1536,864,1313
"Gm6104",2,0,4,3,5
"Gm37277",31,39,60,22,29
"Rgs20",352,516,441,347,400
"Gm17100",0,0,0,0,0
"Gm37079",0,0,0,0,0
"Gm16041",0,1,1,0,0
"Gm17101",0,0,0,0,0
"Atp6v1h",1708,2368,2651,1579,2168
"Gm7182",0,0,0,0,0
"Gm37567",0,1,0,0,0
"Gm38264",0,0,0,0,0
"Oprk1",21,67,36,16,25
"Gm36965",0,0,0,0,0
"Gm22463",0,0,0,0,0
"Gm37429",0,0,0,0,0
"Npbwr1",41,35,86,34,41
"Gm19214",0,0,0,0,0
"Rb1cc1",1925,2537,3271,1510,2375
"4732440D04Rik",23,44,40,18,35
"Alkal1",3,3,1,0,0
"Gm2147",1,0,0,0,0
"Gm7417",0,0,0,0,0
"Gm19026",11,25,27,10,22
"St18",380,532,756,330,659
"Gm42492",13,15,38,11,14
