"","Gene_name","Veh1","Veh2","Veh3","Veh4","STZ1","STZ2","STZ3"
"1","0610005C13Rik",36,28,32,28,35,31,36
"2","0610007N19Rik",0,0,0,0,0,0,0
"3","0610007P14Rik",3,2,2,1,2,5,2
"4","0610008F07Rik",0,0,0,0,0,0,0
"5","0610009B14Rik",3,0,2,1,1,0,0
"6","0610009B22Rik",0,0,0,0,0,0,0
"7","0610009D07Rik",1,1,0,0,0,3,1
"8","0610009L18Rik",0,0,0,0,0,0,0
"9","0610009O20Rik",37,30,18,27,28,34,29
"10","0610010B08Rik",0,0,0,0,0,0,0
"11","0610010F05Rik",1,1,0,0,0,0,0
"12","0610010K14Rik",31,30,38,25,20,23,18
"13","0610011F06Rik",2,3,2,3,2,3,1
"14","0610012G03Rik",13,19,28,26,20,23,21
"15","0610012H03Rik",0,0,0,0,0,0,0
"16","0610030E20Rik",9,7,11,6,11,14,16
"17","0610031J06Rik",0,0,0,0,0,0,0
"18","0610031O16Rik",0,0,1,0,0,0,0
"19","0610037L13Rik",1,1,4,1,2,0,0
"20","0610038B21Rik",19,22,22,25,26,26,26
"21","0610038L08Rik",156,166,145,156,137,135,182
"22","0610039K10Rik",460,491,474,416,522,426,609
"23","0610040B10Rik",0,0,0,0,0,0,0
"24","0610040F04Rik",226,222,231,207,213,183,256
"25","0610040J01Rik",1,3,3,4,0,2,5
"26","0610043K17Rik",39,26,30,27,52,46,45
"27","1100001G20Rik",1,0,3,1,1,4,1
"28","1110001A16Rik",222,196,178,228,227,198,252
"29","1110001J03Rik",4,1,1,2,1,1,2
"30","1110002L01Rik",1615,1369,1442,1267,1642,1356,1888
"31","1110004E09Rik",1,3,1,1,1,2,2
"32","1110004F10Rik",0,0,0,0,0,0,0
"33","1110006O24Rik",0,0,0,0,1,0,0
"34","1110007C09Rik",0,0,0,0,0,0,0
"35","1110008F13Rik",4,3,8,9,4,12,5
"36","1110008J03Rik",1,0,4,1,0,1,0
"37","1110008L16Rik",86,79,86,81,101,77,100
"38","1110008P14Rik",8,8,5,5,10,6,9
"39","1110012L19Rik",0,0,0,0,0,0,0
"40","1110015O18Rik",0,0,0,0,0,0,0
"41","1110017D15Rik",2,1,2,2,3,2,2
"42","1110018G07Rik",1,1,0,1,1,1,0
"43","1110019D14Rik",0,0,0,0,0,0,0
"44","1110020A21Rik",0,1,1,1,0,0,0
"45","1110025L11Rik",0,0,0,0,0,0,0
"46","1110028F11Rik",0,0,0,0,0,0,0
"47","1110028F18Rik",0,0,0,0,0,0,0
"48","1110032A03Rik",0,0,0,0,0,0,0
"49","1110032F04Rik",2,6,1,6,3,3,6
"50","1110034G24Rik",0,0,0,0,1,2,0
"51","1110035M17Rik",1,3,1,2,4,1,4
"52","1110036E04Rik",0,0,0,0,0,0,0
"53","1110037F02Rik",0,0,1,0,0,0,4
"54","1110038B12Rik",0,2,0,1,0,2,2
"55","1110038F14Rik",2,1,1,3,0,1,3
"56","1110046J04Rik",11,10,21,14,11,4,15
"57","1110051M20Rik",75,97,89,82,112,116,119
"58","1110054M08Rik",27,32,20,36,31,17,34
"59","1110057K04Rik",0,0,1,1,0,0,1
"60","1110058L19Rik",0,0,0,0,0,0,1
"61","1110059E24Rik",0,0,0,0,0,1,1
"62","1110059G10Rik",5,1,2,2,5,3,3
"63","1110059M19Rik",0,0,0,0,0,0,0
"64","1110065P20Rik",2,6,5,3,5,6,6
"65","1190002F15Rik",0,0,0,0,0,0,0
"66","1190002N15Rik",1,4,5,4,1,3,0
"67","1190003J15Rik",0,0,1,0,1,0,0
"68","1190003K10Rik",2,0,2,0,6,3,1
"69","1190005I06Rik",2,2,4,2,1,2,2
"70","1190007I07Rik",0,0,0,0,0,0,0
"71","1200011I18Rik",0,1,1,1,0,0,0
"72","1200014J11Rik",0,0,0,0,1,0,1
"73","1300002E11Rik",1,0,0,0,0,0,0
"74","1300002K09Rik",0,0,0,0,0,0,0
"75","1300015D01Rik",0,0,0,0,0,0,0
"76","1300017J02Rik",6,11,8,12,9,8,10
"77","1300018J18Rik",173,205,199,172,224,191,252
"78","1500002O10Rik",9,3,6,9,9,5,6
"79","1500004A13Rik",206,195,202,179,200,179,245
"80","1500009C09Rik",1,3,4,4,3,1,3
"81","1500009L16Rik",0,0,0,0,0,0,0
"82","1500011B03Rik",3,5,0,2,5,5,4
"83","1500011K16Rik",0,0,0,0,0,0,0
"84","1500012F01Rik",1,0,0,0,3,0,0
"85","1500012K07Rik",291,226,266,232,307,227,307
"86","1500015A07Rik",2,2,0,2,1,1,4
"87","1500015L24Rik",0,0,2,0,2,0,2
"88","1500015O10Rik",10,17,11,5,21,14,20
"89","1500016L03Rik",1,0,0,1,0,1,0
"90","1500017E21Rik",597,457,432,399,517,421,512
"91","1500032L24Rik",10,6,4,4,4,7,5
"92","1600002D24Rik",0,0,0,1,0,0,0
"93","1600002H07Rik",2,1,1,7,4,4,3
"94","1600002K03Rik",6,4,2,2,9,7,16
"95","1600010M07Rik",1,0,0,0,1,1,0
"96","1600012H06Rik",82,83,81,100,106,81,88
"97","1600014C10Rik",10,8,8,7,2,4,5
"98","1600014C23Rik",0,1,0,0,0,0,0
"99","1600014K23Rik",0,0,0,1,0,0,0
"100","1600015I10Rik",1,0,0,0,0,0,1
"101","1600016N20Rik",3,2,2,2,6,3,1
"102","1600019K03Rik",0,0,1,1,0,0,0
"103","1600020E01Rik",1,1,0,0,0,1,0
"104","1600023N17Rik",0,0,0,0,0,0,0
"105","1600025M17Rik",0,0,0,1,0,0,0
