"","Gene_name","C1","C2","STZ1","STZ2","STZ3"
"1","0610005C13Rik",70,130,63,58,41
"2","0610007N19Rik",0,0,0,0,0
"3","0610007P14Rik",13,2,7,2,7
"4","0610008F07Rik",0,0,0,0,0
"5","0610009B14Rik",3,7,6,4,3
"6","0610009B22Rik",0,0,0,0,0
"7","0610009D07Rik",1,1,0,0,2
"8","0610009L18Rik",0,2,0,0,1
"9","0610009O20Rik",33,55,35,30,28
"10","0610010B08Rik",0,1,0,2,0
"11","0610010F05Rik",1,3,1,2,2
"12","0610010K14Rik",56,101,39,48,29
"13","0610011F06Rik",5,3,3,5,3
"14","0610012G03Rik",47,58,41,41,31
"15","0610012H03Rik",0,2,0,0,1
"16","0610030E20Rik",20,42,24,20,17
"17","0610031J06Rik",0,2,0,0,0
"18","0610031O16Rik",0,0,0,0,0
"19","0610037L13Rik",2,6,4,3,1
"20","0610038B21Rik",43,86,49,43,53
"21","0610038L08Rik",306,273,327,295,285
"22","0610039K10Rik",683,422,748,636,821
"23","0610040B10Rik",0,0,0,0,0
"24","0610040F04Rik",295,445,288,303,331
"25","0610040J01Rik",5,5,0,1,5
"26","0610043K17Rik",71,61,67,76,67
"27","1100001G20Rik",1,0,1,1,3
"28","1110001A16Rik",452,424,423,363,454
"29","1110001J03Rik",0,12,2,2,3
"30","1110002L01Rik",2486,1533,2806,2145,2486
"31","1110004E09Rik",4,11,4,2,1
"32","1110004F10Rik",0,2,0,0,1
"33","1110006O24Rik",0,0,0,0,0
"34","1110007C09Rik",0,0,0,0,0
"35","1110008F13Rik",10,3,9,7,12
"36","1110008J03Rik",1,0,0,1,1
"37","1110008L16Rik",114,70,143,94,111
"38","1110008P14Rik",6,18,7,7,8
"39","1110012L19Rik",0,0,0,0,0
"40","1110015O18Rik",0,0,0,0,0
"41","1110017D15Rik",1,3,11,0,5
"42","1110018G07Rik",1,2,1,0,2
"43","1110019D14Rik",0,0,0,0,0
"44","1110020A21Rik",0,1,1,0,0
"45","1110025L11Rik",0,0,0,0,0
"46","1110028F11Rik",0,0,0,0,0
"47","1110028F18Rik",0,0,0,0,0
"48","1110032A03Rik",1,1,0,0,0
