"","Veh1","Veh2","STZ1","STZ2","STZ3"
"Gnai3",3446,3544,3317,3158,3654
"Pbsn",0,0,4,0,1
"Cdc45",146,113,145,154,159
"H19",7,9,20,14,22
"Scml2",107,140,154,146,146
"Apoh",7,14,22,19,12
"Narf",4755,4198,4392,4204,4315
"Cav2",2517,2789,3187,3272,2979
"Klf6",3108,3394,4548,3906,3381
"Scmh1",4391,4162,4803,4625,4488
"Cox5a",3849,4193,4339,3718,4078
"Tbx2",117,80,102,103,84
"Tbx4",8,9,8,12,4
"Zfy2",0,0,0,0,0
"Ngfr",146,217,165,138,155
"Wnt3",134,101,128,117,111
"Wnt9a",384,637,616,777,366
"Fer",3634,3311,3974,3550,3566
"Xpo6",9485,9036,9878,9550,9078
"Tfe3",2277,2471,2540,2673,2393
"Axin2",2573,2618,2562,2561,2445
"Brat1",1413,1403,1439,1465,1299
"Gna12",6214,6275,6170,5404,6208
"Slc22a18",43,51,9,12,27
"Itgb2l",2,5,0,0,0
"Igsf5",49,57,36,20,4
"Pih1d2",250,251,263,173,217
"Dlat",10833,9434,10843,9514,9792
"Sdhd",3696,3297,3888,3246,3863
"Fgf23",29,38,33,23,22
"Fgf6",0,0,0,0,0
"Ccnd2",10091,9130,8375,8091,10160
"Gpr107",5112,4829,5318,4944,4896
"Nalcn",12469,12342,14048,11778,12606
"Btbd17",585,606,674,617,674
"Slfn4",6,2,6,2,57
"Th",33,46,22,30,40
"Ins2",40,21,2,0,0
"Scnn1g",23,28,11,19,5
"Drp2",7814,7329,8358,8457,7666
"Tspan32",4,12,16,4,29
"Lhx2",4877,4633,5470,4806,4864
"Clec2g",0,0,0,0,0
"Gmpr",2543,2611,2823,2418,2498
"Glra1",5,11,6,15,20
"Mid2",3242,3196,3412,3191,3168
"Trim25",526,717,722,633,855
"Dgke",9106,8839,10514,9505,9326
"Scpep1",802,1044,919,860,1119
"Mnt",3307,3473,3553,3484,3330
"Itgb2",301,302,406,431,1303
"Hddc2",656,573,600,630,610
"Tpd52l1",1272,1293,1353,1182,1324
"Pemt",73,98,86,74,62
"Cdh1",44,394,223,264,201
"Cdh4",973,882,1204,848,873
"Ckmt1",8898,8519,9964,8298,8519
"Bcl6b",83,129,86,112,78
"Clec10a",15,46,36,36,75
"Alox12",30,38,22,37,19
"Arvcf",2685,2535,2765,2581,2602
"Comt",3184,3052,3341,2998,3245
"Rtca",2423,2388,2597,2435,2477
"Dbt",2511,1976,2389,2069,2272
"Dazap2",5971,6373,6628,6027,6547
"Mcts1",2619,2208,2591,2325,2433
"Rem1",22,37,38,24,19
"Rnf17",100,169,123,121,159
"Trappc10",9950,9813,11128,9831,9912
"Ccm2",2321,2150,2383,2154,2037
"Wap",0,0,0,0,0
"Tbrg4",1640,1687,1803,1710,1662
"Tmprss2",5,22,4,2,0
"Mx1",4,26,39,30,82
"Fap",411,578,110,135,61
"Gcg",2,0,0,0,0
"Ndufa9",4850,4786,4951,4759,4889
"Egfl6",282,242,240,290,298
"Lck",85,83,125,113,148
"Tssk3",10,15,5,10,4
"Cttnbp2",28092,24446,29655,28022,28013
"Galnt1",5057,4902,5242,5293,5495
"Myf5",2,0,0,0,0
"Mkrn2",1912,1837,2092,1972,1908
"Pparg",162,198,220,242,178
"Raf1",5894,5689,6254,6437,6088
"Sept1",32,44,42,41,54
"Pdgfb",1397,1514,1239,1188,1344
"Acvrl1",301,432,386,379,280
"Grasp",2524,2632,2642,2697,2546
"Acvr1b",8394,7856,8478,8455,8041
"Tom1l2",20467,19558,22403,20182,19498
"Gpa33",0,0,0,0,0
"Zfp385a",2475,2736,2963,2759,2661
"Itga5",151,156,159,208,240
"Gabra2",27742,26534,31226,25435,30493
"Wdr77",2289,2312,2302,2384,2281
"Adora3",39,49,38,45,68
"Atp5f1",13316,12575,13538,11965,12997
"Sox9",5143,5905,5025,4321,5650
"Hnrnpd",15920,16416,17406,17677,16387
"Dynlt1c",102,120,100,72,95
"C1d",2982,2659,3161,2829,2870
"Gm2a",3926,4039,3756,3479,4460
"Krit1",11510,9312,11446,11274,10999
"Clcn4-2",15479,15031,16840,15973,15533
"Vmn2r88",0,0,0,0,0
"Grm6",0,0,0,0,0
"Sema4f",3319,3039,3564,3157,3397
"Hk2",678,626,682,678,1093
"Myo18a",17397,15873,18283,17084,16543
"Sez6",14250,14384,16785,13668,14239
"Haao",6,11,8,3,8
"Cd52",43,70,50,81,496
"Abhd15",139,69,103,87,131
"Hoxb6",2,2,0,0,0
